Index,X,Y,Z,NormalX,NormalY,NormalZ,GroupID
     292 ,4.537,-59.791,128.610,-0.53405,-0.41578,0.73615,0
     293 ,43.155,-28.043,116.956,0.05112,0.92928,0.36581,0
     294 ,-27.355,-32.435,110.151,-0.97516,-0.21910,-0.03247,0
     295 ,55.053,-63.153,106.032,0.59535,-0.64168,0.48354,0
     296 ,67.910,-21.471,109.487,0.77963,-0.22815,0.58320,0
     297 ,13.873,-60.749,91.548,-0.16323,-0.41318,-0.89590,0
     298 ,47.740,-62.406,94.873,0.50665,-0.31779,-0.80145,0
     299 ,-6.463,-46.641,88.718,0.66963,0.35552,-0.65207,0
     300 ,42.689,-25.375,110.800,-0.06987,0.89919,0.43194,0
     301 ,49.558,-33.138,87.948,0.72292,0.45773,-0.51756,0
     302 ,62.996,-14.129,105.371,-0.27605,0.94543,0.17307,0
     303 ,35.198,-79.180,111.152,0.40004,-0.91508,-0.05093,0
     304 ,-7.565,-26.008,115.547,0.26162,0.96430,0.04092,0
     305 ,63.762,-13.847,104.250,-0.01920,0.99818,-0.05712,0
     306 ,65.708,-14.661,104.336,0.71716,0.69535,-0.04672,0
     307 ,24.720,-48.815,92.293,0.12623,0.10399,-0.98654,0
     308 ,66.548,-16.103,105.967,0.76971,0.50480,-0.39080,0
     309 ,35.307,-64.418,92.586,-0.20443,-0.24162,-0.94859,0
     310 ,54.040,-45.906,84.796,0.79309,-0.53308,0.29466,0
     311 ,17.210,-66.135,94.320,-0.09200,-0.46994,-0.87789,0
     312 ,2.513,-66.285,123.918,-0.54124,-0.27831,0.79347,0
     313 ,47.793,-41.084,137.507,0.61001,0.42577,0.66829,0
     314 ,-3.539,-46.464,91.389,0.50523,0.38359,-0.77304,0
     315 ,24.625,-40.466,93.047,0.00067,0.12773,-0.99181,0
     316 ,-3.194,-28.297,100.806,-0.16619,0.64395,-0.74680,0
     317 ,21.251,-48.904,138.729,-0.15685,0.03036,0.98715,0
     318 ,26.057,-60.245,92.576,0.02912,-0.08607,-0.99586,0
     319 ,67.930,-19.907,109.084,0.96843,0.24295,0.05594,0
     320 ,-10.774,-28.055,120.637,0.39852,0.53840,0.74250,0
     321 ,-19.752,-54.387,90.144,-0.53709,-0.79680,0.27683,0
     322 ,64.586,-15.430,108.563,0.10804,0.75217,0.65006,0
     323 ,58.258,-18.429,108.451,-0.25470,0.64193,0.72322,0
     324 ,63.396,-15.763,108.588,-0.34547,0.61684,0.70722,0
     325 ,60.200,-40.375,105.896,0.95453,0.22710,-0.19312,0
     326 ,49.445,-18.713,102.471,0.08720,0.53390,-0.84104,0
     327 ,63.717,-14.588,107.180,-0.12536,0.88931,0.43978,0
     328 ,-21.256,-50.563,85.983,-0.99537,0.03082,0.09104,0
     329 ,64.408,-14.184,105.746,0.24591,0.95017,0.19158,0
     330 ,-22.411,-36.184,116.135,-0.71468,-0.44302,0.54127,0
     331 ,66.630,-16.036,106.881,0.79402,0.59178,0.13899,0
     332 ,-15.060,-27.201,122.327,0.39067,0.43523,0.81114,0
     333 ,67.115,-18.272,109.211,0.79617,0.44078,0.41452,0
     334 ,67.161,-21.168,109.841,0.23526,-0.21003,0.94897,0
     335 ,1.329,-69.179,122.274,-0.51001,-0.27329,0.81560,0
     336 ,65.937,-16.579,109.020,0.48347,0.58216,0.65372,0
     337 ,40.657,-42.567,138.034,-0.41126,0.29334,0.86303,0
     338 ,13.934,-77.518,99.741,-0.01891,-0.39031,-0.92049,0
     339 ,67.709,-20.036,109.661,0.69098,0.18530,0.69872,0
     340 ,-22.844,-26.065,110.081,-0.00267,0.68390,-0.72957,0
     341 ,40.906,-65.688,136.203,0.57550,-0.71985,0.38809,0
     342 ,49.123,-21.043,108.246,-0.20089,0.80216,0.56230,0
     343 ,65.987,-20.187,110.147,0.09949,-0.07698,0.99206,0
     344 ,65.004,-21.129,110.060,-0.02004,-0.20554,0.97844,0
     345 ,24.561,-58.729,92.566,-0.02032,-0.02121,-0.99957,0
     346 ,28.134,-80.848,115.660,0.18379,-0.98280,0.01817,0
     347 ,26.115,-33.995,94.488,-0.03974,0.41757,-0.90777,0
     348 ,7.800,-27.482,102.259,-0.00347,0.83792,-0.54578,0
     349 ,22.575,-79.312,101.124,-0.02338,-0.71525,-0.69847,0
     350 ,36.418,-79.058,115.459,0.46323,-0.88175,-0.08901,0
     351 ,-16.493,-55.391,87.234,-0.14497,-0.98832,-0.04702,0
     352 ,28.716,-81.327,110.899,0.22614,-0.97185,0.06613,0
